date,dayofweek,visiting_team,v_game_number,home_team,h_game_number,v_score,h_score,LOG_inouts,LOG_minutes,v_AB,v_H,v_2B,v_3B,v_HR,v_RBI,v_SF,v_HBP,v_BB,v_K,v_SB,v_GIDP,v_LOB,v_pitchers_used,v_ER,v_def_assists,v_errors_def,v_doubleplays_def,h_AB,h_H,h_2B,h_3B,h_HR,h_RBI,h_SF,h_HBP,h_BB,h_K,h_SB,h_GIDP,h_LOB,h_pitchers_used,h_ER,h_def_assists,h_errors_def,h_doubleplays_def
20190401,Mon,BOS,5,OAK,7,0,7,51,162,29,4,1,0,0,0,0,0,2,11,0,1,4,3,6,3,1,0,34,9,1,0,4,7,0,0,2,11,0,0,5,5,0,8,0,1
20190401,Mon,ANA,5,SEA,7,3,6,51,200,35,8,1,0,0,3,0,1,1,5,0,1,7,5,6,10,1,1,33,10,1,0,1,6,0,1,6,7,3,1,10,5,1,9,4,1
20190401,Mon,COL,5,TBD,5,1,7,51,174,32,6,1,0,0,1,0,1,1,12,0,1,6,4,7,12,1,0,32,9,1,0,2,7,1,0,4,9,0,0,6,6,1,7,0,1
20190401,Mon,HOU,5,TEX,4,2,1,54,159,33,8,3,0,1,2,0,0,4,5,0,0,8,3,1,9,0,0,28,2,0,0,1,1,0,0,0,7,0,0,0,2,2,10,0,0
20190401,Mon,BAL,4,TOR,5,6,5,54,166,32,6,0,0,2,5,1,2,3,12,0,0,5,4,5,7,0,1,31,6,1,1,2,5,1,0,2,10,0,1,2,3,4,6,1,0
20190402,Tue,MIL,6,CIN,4,4,3,54,187,33,7,1,0,1,4,0,0,7,11,2,1,9,4,3,3,0,0,31,4,1,0,1,3,0,0,5,9,0,0,6,5,4,6,0,1
20190402,Tue,SFG,6,LAD,6,5,6,51,170,34,9,1,0,1,5,0,0,2,8,0,3,4,3,1,8,2,1,30,7,1,0,1,6,1,0,3,5,0,0,4,4,4,12,1,3
20190402,Tue,NYM,5,FLA,6,6,5,54,203,38,9,1,0,0,6,0,1,5,7,1,0,11,4,5,9,1,2,41,16,4,0,1,5,0,2,2,5,0,1,14,5,6,12,1,0
20190402,Tue,ARI,6,SDP,6,8,5,54,201,41,14,3,0,5,7,0,0,4,8,2,0,10,5,5,7,0,0,38,11,0,0,3,5,0,0,1,13,1,0,7,4,8,13,0,0
20190402,Tue,PHI,4,WSN,4,8,2,54,210,41,14,5,0,2,7,0,0,4,12,0,0,10,6,2,5,0,1,33,7,0,0,1,2,0,0,1,14,0,1,5,5,7,5,0,0
20190402,Tue,MIN,4,KCR,4,5,4,60,210,41,12,3,0,0,5,0,2,6,10,0,0,14,4,4,12,1,2,37,10,2,1,2,4,1,1,1,7,1,1,6,6,5,11,0,0
20190402,Tue,DET,6,NYY,5,3,1,54,161,37,11,5,0,0,3,0,0,1,12,0,1,8,4,1,6,0,1,31,6,1,0,0,1,1,1,1,8,1,0,6,3,3,10,0,1
20190402,Tue,BOS,6,OAK,8,0,1,51,162,33,7,3,0,0,0,0,0,1,9,3,0,7,3,1,11,0,1,26,3,0,0,1,1,0,1,3,4,0,1,5,4,0,8,0,0
20190402,Tue,ANA,6,SEA,8,1,2,51,136,31,4,1,0,0,1,0,0,1,4,0,0,4,3,2,9,0,0,29,5,3,0,1,2,0,0,0,6,0,0,3,2,1,11,0,0
20190402,Tue,COL,6,TBD,6,0,4,51,170,27,2,0,0,0,0,0,0,2,14,0,1,2,4,3,5,1,0,33,8,2,0,0,3,0,1,6,13,1,0,12,2,0,10,0,1
20190402,Tue,HOU,6,TEX,5,4,6,51,203,34,12,2,0,0,4,1,1,5,5,4,2,11,4,6,11,0,1,32,9,2,1,1,6,0,1,4,9,0,0,7,5,4,12,0,2
20190402,Tue,BAL,5,TOR,6,2,1,54,165,34,10,3,1,0,2,0,0,2,8,0,2,7,3,1,11,0,2,31,6,0,0,1,1,0,0,4,4,0,2,7,4,2,9,1,2
20190403,Wed,CHC,5,ATL,5,4,6,51,212,35,12,0,0,1,3,0,0,6,13,0,1,10,6,6,8,1,1,30,8,1,0,2,6,1,0,8,8,1,1,9,6,4,6,0,2
20190403,Wed,MIL,7,CIN,5,1,0,54,153,28,2,1,0,0,1,0,1,5,10,2,0,6,2,0,1,0,0,30,3,0,0,0,0,0,0,1,12,0,0,4,3,1,9,0,1
20190403,Wed,SFG,7,LAD,7,3,5,51,179,32,6,0,0,2,3,0,1,1,5,0,0,4,5,5,7,0,0,31,7,4,0,1,5,0,0,5,10,0,0,7,4,3,11,0,0
20190403,Wed,NYM,6,FLA,7,6,4,54,187,38,10,3,1,1,6,0,0,3,10,0,0,8,4,4,3,0,0,34,7,3,0,0,4,0,0,3,15,0,0,6,3,4,5,1,0
20190403,Wed,STL,6,PIT,4,5,4,60,210,37,7,1,1,2,4,0,0,3,8,1,0,5,7,4,16,1,1,38,8,3,1,1,4,0,0,7,7,2,1,11,5,5,11,0,0
20190403,Wed,ARI,7,SDP,7,1,4,51,179,33,7,5,0,0,1,0,0,1,11,0,1,6,3,4,9,0,1,28,5,1,0,1,4,0,0,6,7,0,1,6,4,1,5,1,1
20190403,Wed,PHI,5,WSN,5,8,9,51,233,37,10,3,0,0,8,0,0,7,8,0,0,9,6,8,11,3,0,35,12,3,0,3,8,0,0,7,8,1,0,9,7,8,4,1,0
